cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1788874202722125	2026-09-08	Sep  8 2026 10:28:19	pw_backups/pw102_20260906/backup103_20260906_2243	30	30	1.47	0-1	2.87	224	223	0.9954	0.9954	0.9963	0.9950	post_local_ba	1.0004	5.1	0	0.85	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788874202722125
cap_1788964224124864	2026-09-09	Sep  8 2026 10:28:19	pw_backups/pw102_20260906/backup103_20260906_2243	89	89	1.45	0-1	8.25	226	200	0.9973	0.9973	0.9963	0.9980	post_local_ba	0.9994	10.6	0	1.50	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788964224124864
cap_1789024293272808	2026-09-10	Sep 10 2026 01:23:12	pw_backups/pw102_20260906/backup134_20260910	35	35	1.48	0-1	5.67	343	336	0.9733	0.9733	0.9735	0.9753	post_local_ba	0.9979	4.8	0	0.81	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup134_20260910/Documents/captures_official/cap_1789024293272808
cap_1789032291485330	2026-09-10	Sep 10 2026 16:55:28	pw_backups/pw102_20260906/backup137_20260910	20	20	1.27	0-1	2.27	122	119	0.9898	0.9898	0.9901	0.9915	post_local_ba	0.9984	3.1	0	0.66	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup137_20260910/Documents/captures_official/cap_1789032291485330
cap_1789043434038808	2026-09-10	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup137_20260910	20	20	1.47	0-1	2.60	210	209	1.0093	1.0093	1.0101	1.0069	post_global_ba	1.0024	5.1	0	0.73	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup137_20260910/Documents/captures_official/cap_1789043434038808
cap_1789045251403847	2026-09-10	Sep 10 2026 17:47:09	pw_backups/pw102_20260906/backup137_20260910	20	20	1.40	0-1	1.40	180	140	1.0296	1.0296	1.0296	1.0280	post_global_ba	1.0016	4.1	0	0.66	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup137_20260910/Documents/captures_official/cap_1789045251403847
cap_1789057622885398	2026-09-10	Sep 10 2026 22:08:57	pw_backups/pw102_20260906/backup144_20260911	35	35	1.53	0-1	3.10	176	172	0.9844	0.9844	0.9845	0.9831	post_local_ba	1.0013	7.2	0	0.83	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup144_20260911/Documents/captures_official/cap_1789057622885398
cap_1789105782936554	2026-09-11	Sep 11 2026 00:44:00	pw_backups/pw102_20260906/backup147_20260911	14	6	2.33	0-1	6.17	482	338	0.9792	0.9792	0.9775	0.9772	post_local_ba	1.0020	6.0	0	0.43	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup147_20260911/Documents/captures_official/cap_1789105782936554
cap_1789106491854116	2026-09-11	Sep 11 2026 00:44:00	pw_backups/pw102_20260906/backup147_20260911	50	50	1.60	0-1	2.97	207	195	0.9903	0.9903	0.9900	0.9915	post_local_ba	0.9988	6.1	0	0.82	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup147_20260911/Documents/captures_official/cap_1789106491854116
cap_1789110924104373	2026-09-11	Sep 11 2026 00:44:00	pw_backups/pw102_20260906/backup148_20260911	36	36	1.30	0-1	4.47	519	414	1.0031	1.0031	1.0035	1.0058	post_local_ba	0.9973	5.4	0	0.78	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup148_20260911/Documents/captures_official/cap_1789110924104373
cap_1789119308200005	2026-09-11	Sep 11 2026 16:30:11	pw_backups/pw102_20260906/backup151_20260911	23	23	1.17	0-1	1.87	126	119	0.9134	0.8690	0.9230	0.9677	post_local_ba	0.9439	22.1	6	0.59	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup151_20260911/Documents/captures_official/cap_1789119308200005
cap_1789381704918369	2026-09-14	Sep 11 2026 16:30:11	pw_backups/pw102_20260906/backup153_20260914	21	21	1.45	0-1	2.87	135	130	0.9651	0.9651	0.9641	0.9751	post_local_ba	0.9897	5.5	0	0.58	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup153_20260914/Documents/captures_official/cap_1789381704918369
