engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	8	7353	backend_final	5.5035	4.8494	8.0407	-9.7452	2.3977	3.8506	4.6581	11.3137	0.0940	0.0940	0.0595	0.0798	0.0306	-5.5000	11.5000	1.0015	290
base	8	7353	front	5.9186	5.2619	8.4415	-7.1819	3.8227	4.1094	6.7082	14.2732	0.3261			0.0408		-1.0000	16.0000	0.9042	862
okvis	-10	13f5	backend_final	-2.1021	-4.2754	2.6440	-6.5307	4.7802	3.7798	6.2693	13.6512	0.0660	0.0660	0.0417	0.0372	0.0222	0.5000	-1.5000	0.9967	288
okvis	-10	13f5	front	-1.5645	-3.7498	3.3501	-6.7519	8.3600	4.8571	6.5347	16.2655	0.1356			0.0222		-4.5000	-6.5000	0.9941	858
okvis	-10	6d18	backend_final	1.4985	-2.5006	4.7494	-0.5155	2.5529	1.0461	2.5088	7.8174	0.0694	0.0694	0.0496	0.0616	0.0266	0.5000	-2.0000	0.9986	288
okvis	-10	6d18	front	1.8366	-2.1757	4.7691	-0.8388	2.8046	1.1919	2.7364	7.8984	0.1652			0.0350		-5.0000	-7.5000	0.9952	859
okvis	-10	7353	backend_final	2.4265	1.7914	3.6097	-5.9796	1.2420	2.5655	3.5632	10.7649	0.0777	0.0777	0.0532	0.0798	0.0306	0.0000	-1.0000	0.9994	290
okvis	-10	7353	front	2.7922	2.1549	3.9396	-5.8097	1.5246	2.2329	7.1125	19.3181	0.1987			0.0408		-5.0000	-6.0000	0.9998	862
okvis	-9	13f5	backend_final	-1.3819	-3.5712	2.3673	-6.1050	4.5696	3.4600	5.6908	12.2903	0.0629	0.0629	0.0405	0.0372	0.0222	0.5000	-0.5000	0.9968	288
okvis	-9	13f5	front	-0.9348	-3.1340	2.8523	-6.2183	7.5810	4.3337	6.2549	15.9209	0.1343			0.0222		-5.0000	-6.0000	0.9926	858
okvis	-9	6d18	backend_final	1.6219	-2.3820	4.4856	-0.5922	2.2037	0.9329	2.4158	7.6578	0.0683	0.0683	0.0475	0.0616	0.0266	0.5000	-1.0000	0.9984	288
okvis	-9	6d18	front	1.9375	-2.0788	4.4837	-0.9118	2.4570	1.1002	2.7063	7.6696	0.1644			0.0350		-5.0000	-6.5000	0.9940	859
okvis	-9	7353	backend_final	2.7231	2.0862	3.6622	-6.0077	1.0579	2.5386	3.3991	10.0265	0.0715	0.0715	0.0490	0.0798	0.0306	0.0000	0.0000	0.9999	290
okvis	-9	7353	front	3.0841	2.4450	3.9792	-6.0087	1.0036	2.1986	6.5040	17.5632	0.1984			0.0408		-5.0000	-5.0000	0.9973	862
okvis	-8	13f5	backend_final	-0.8411	-3.0424	2.1020	-5.6123	3.4644	2.9758	5.0459	10.0175	0.0607	0.0607	0.0382	0.0372	0.0222	0.5000	0.5000	0.9971	288
okvis	-8	13f5	front	-0.4407	-2.6509	2.4994	-5.6942	5.5801	3.5763	5.5401	13.0029	0.1358			0.0222		-5.5000	-5.5000	0.9952	858
okvis	-8	6d18	backend_final	1.7042	-2.3029	4.0625	-0.7111	1.7500	0.8551	2.4047	7.5139	0.0677	0.0677	0.0462	0.0616	0.0266	0.0000	-0.5000	0.9986	288
okvis	-8	6d18	front	1.9980	-2.0207	4.0913	-1.0638	2.0830	1.1280	2.8360	7.4608	0.1665			0.0350		-5.0000	-5.5000	0.9973	859
okvis	-8	7353	backend_final	2.7369	2.0999	3.4703	-6.4087	0.7798	2.6707	3.3312	9.4366	0.0701	0.0701	0.0442	0.0798	0.0306	0.0000	1.0000	1.0002	290
okvis	-8	7353	front	3.0409	2.4021	3.7532	-6.3676	1.2857	2.4358	6.0696	16.4573	0.1987			0.0408		-5.0000	-4.5000	0.9965	862
okvis	-7	13f5	backend_final	-0.4980	-2.7070	2.1215	-5.1017	3.9596	2.9500	4.9939	11.1189	0.0588	0.0588	0.0374	0.0372	0.0222	0.0000	1.0000	0.9976	288
okvis	-7	13f5	front	-0.1012	-2.3189	2.5197	-5.1687	6.5203	3.6995	5.5916	14.6673	0.1381			0.0222		-5.0000	-4.0000	0.9963	858
okvis	-7	6d18	backend_final	1.6665	-2.3391	3.7965	-0.6881	1.6085	0.8727	2.3569	7.3243	0.0621	0.0621	0.0442	0.0616	0.0266	0.0000	0.5000	0.9989	288
okvis	-7	6d18	front	1.9317	-2.0844	3.8462	-1.0548	2.0294	1.1129	2.7872	7.7332	0.1664			0.0350		-5.0000	-4.5000	0.9976	859
okvis	-7	7353	backend_final	2.5861	1.9501	3.3679	-6.2667	0.9749	2.6919	3.2763	8.7676	0.0684	0.0684	0.0408	0.0798	0.0306	0.0000	2.0000	1.0003	290
okvis	-7	7353	front	2.8579	2.2201	3.6228	-6.3263	1.2305	2.5369	5.6254	14.8146	0.1946			0.0408		-4.5000	-2.5000	0.9957	862
okvis	-6	13f5	backend_final	-0.1235	-2.3408	1.9014	-4.5453	2.4353	2.4472	4.4255	8.8921	0.0571	0.0571	0.0364	0.0372	0.0222	0.0000	2.0000	0.9980	288
