# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
706.283875 1101.75818 707.451782 1102.93005 1 707.451782 1102.93005 1 706.285522 1101.75793 1 706.285522 1101.75793 1
712.709778 827.71106 714.346802 828.969055 1 714.346863 828.969055 1 712.7099 827.712769 1 712.709961 827.712769 1
939.481995 523.407349 941.54187 525.343445 1 941.54187 525.343445 1 939.481506 523.407532 1 939.481506 523.407532 1
627.707581 717.42041 629.404541 718.519836 1 629.404541 718.519836 1 627.713318 717.423096 1 627.713318 717.423096 1
676.522278 1102.58716 677.731323 1103.69006 1 677.731323 1103.69006 1 676.522095 1102.5874 1 676.522095 1102.5874 1
1113.43628 398.271454 1116.20984 400.682465 1 1116.20984 400.682495 1 1113.43494 398.269989 1 1113.43494 398.27005 1
898.712341 1332.59863 899.736389 1334.07849 1 899.736389 1334.07849 1 898.705627 1332.58228 1 898.705627 1332.58228 1
401.769775 712.055908 403.364624 712.691406 1 403.364624 712.691406 1 401.769012 712.061096 1 401.769012 712.061096 1
1248.09912 206.736313 1250.51074 209.481491 1 1250.51074 209.481506 1 1248.09973 206.736984 1 1248.09973 206.736984 1
459.806183 1066.13293 461.182587 1066.7959 1 461.182556 1066.7959 1 459.810028 1066.13403 1 459.809998 1066.13403 1
463.543243 790.159546 465.385223 790.975525 1 465.385223 790.975464 1 463.541046 790.153992 1 463.541199 790.154053 1
849.551575 879.218018 851.000671 880.715027 1 851.000671 880.715027 1 849.55249 879.217346 1 849.55249 879.217346 1
1176.59241 615.358765 1178.5885 618.118591 1 1178.5885 618.118591 1 1176.57739 615.325012 1 1176.57739 615.325012 1
995.724854 725.489746 997.620422 727.541992 1 997.620361 727.541992 1 995.722717 725.487915 1 995.722656 725.487915 1
1549.23865 1373.98352 1550.34094 1377.59314 1 1550.34094 1377.59314 1 1549.23828 1373.98376 1 1549.23828 1373.98376 1
466.48111 166.212128 468.961395 167.401871 1 468.961395 167.40181 1 466.482239 166.216751 1 466.482117 166.21669 1
1032.6875 648.746582 1034.59167 650.921509 1 1034.59167 650.921509 1 1032.6875 648.744934 1 1032.6875 648.744934 1
763.801697 1009.80707 765.211182 1010.87915 1 765.211182 1010.87915 1 763.80188 1009.80707 1 763.80188 1009.80707 1
1454.35828 1216.81396 1455.76892 1220.25806 1 1455.76892 1220.25806 1 1454.35608 1216.81372 1 1454.35608 1216.81372 1
1338.9519 168.761658 1341.94409 172.415649 1 1341.94409 172.415665 1 1338.95654 168.760635 1 1338.95654 168.760651 1
619.383057 822.377991 621.162598 823.521729 1 621.162598 823.521729 1 619.383057 822.375305 1 619.383057 822.375305 1
577.242432 825.421082 579.060425 826.558533 1 579.060425 826.558533 1 577.241699 825.416199 1 577.241699 825.416199 1
483.463409 1267.69543 483.885254 1268.14636 1 483.885193 1268.14636 1 483.463867 1267.6991 1 483.463898 1267.6991 1
529.327026 1183.42798 529.986267 1183.60999 1 529.986267 1183.60999 1 529.327881 1183.474 1 529.327881 1183.474 1
1455.53284 392.203369 1457.79309 395.588348 1 1457.79309 395.588348 1 1455.53455 392.197937 1 1455.53455 392.197937 1
439.190125 704.42804 440.801147 704.872375 1 440.801147 704.872437 1 439.192474 704.429932 1 439.192444 704.429932 1
472.118134 1000.75183 473.623169 1001.62097 1 473.623199 1001.62097 1 472.1185 1000.75159 1 472.1185 1000.75159 1
946.409119 1346.59082 947.402466 1348.27747 1 947.402466 1348.27747 1 946.41156 1346.59253 1 946.41156 1346.59253 1
900.21228 652.819092 901.797546 654.426331 1 901.797546 654.426331 1 900.212708 652.819031 1 900.212708 652.819031 1
1233.86694 1113.36243 1235.59131 1116.32019 1 1235.59131 1116.32019 1 1233.86646 1113.36243 1 1233.86646 1113.36243 1
931.626526 679.524109 933.585449 681.543945 1 933.585449 681.543945 1 931.626038 679.521912 1 931.626038 679.521912 1
