mesher exited
14:05:18 rss_kb=3506848
14:05:25 rss_kb=3314656
14:05:31 rss_kb=3851520
14:05:37 rss_kb=3526816
14:05:43 rss_kb=3390144
14:05:49 rss_kb=3502928
14:05:55 rss_kb=3639552
14:06:01 rss_kb=3740368
14:06:07 rss_kb=3388640
14:06:13 rss_kb=3573040
14:06:19 rss_kb=4084000
14:06:25 rss_kb=4224800
14:06:31 rss_kb=4067552
14:06:37 rss_kb=3987760
14:06:43 rss_kb=4213504
14:06:49 rss_kb=3851616
14:06:55 rss_kb=3551328
14:07:01 rss_kb=3730016
14:07:07 rss_kb=4070400
14:07:13 rss_kb=4213248
14:07:19 rss_kb=3520576
14:07:25 rss_kb=3659616
14:07:31 rss_kb=4285824
14:07:37 rss_kb=3702864
14:07:43 rss_kb=4095664
14:07:50 rss_kb=4335952
14:07:56 rss_kb=3845584
14:08:02 rss_kb=3953424
14:08:08 rss_kb=3724752
14:08:14 rss_kb=3634864
14:08:20 rss_kb=3720416
14:08:26 rss_kb=4073776
14:08:32 rss_kb=4164928
14:08:38 rss_kb=4210304
14:08:44 rss_kb=4071920
14:08:50 rss_kb=3736160
14:08:56 rss_kb=3945872
14:09:02 rss_kb=3972704
14:09:08 rss_kb=3596160
14:09:14 rss_kb=3658544
14:09:20 rss_kb=3821536
14:09:26 rss_kb=3922512
14:09:32 rss_kb=3815184
14:09:38 rss_kb=3706112
14:09:44 rss_kb=3739888
14:09:50 rss_kb=4057456
14:09:56 rss_kb=3626352
14:10:02 rss_kb=3295792
14:10:09 rss_kb=4445504
14:10:15 rss_kb=3720448
14:10:21 rss_kb=3996576
14:10:27 rss_kb=3599984
14:10:33 rss_kb=3624272
14:10:39 rss_kb=3645152
14:10:45 rss_kb=3811760
14:10:51 rss_kb=3799184
14:10:57 rss_kb=3815152
14:11:03 rss_kb=3998640
14:11:09 rss_kb=3788320
14:11:15 rss_kb=3739600
14:11:21 rss_kb=4326672
14:11:27 rss_kb=3480416
14:11:33 rss_kb=3041104
14:11:39 rss_kb=3663200
14:11:45 rss_kb=4154384
14:11:51 rss_kb=3849504
14:11:57 rss_kb=3602320
14:12:03 rss_kb=3643200
14:12:09 rss_kb=3700480
14:12:15 rss_kb=3644192
14:12:22 rss_kb=3770368
14:12:28 rss_kb=4252144
14:12:34 rss_kb=3757648
14:12:40 rss_kb=3713328
14:12:46 rss_kb=3865424
14:12:52 rss_kb=3580608
14:12:58 rss_kb=3672320
14:13:04 rss_kb=3837536
14:13:10 rss_kb=3676448
14:13:16 rss_kb=3989680
14:13:22 rss_kb=3961376
14:13:28 rss_kb=3646192
14:13:34 rss_kb=3638416
14:13:40 rss_kb=4047424
14:13:46 rss_kb=3817680
14:13:52 rss_kb=3718864
14:13:58 rss_kb=3681008
14:14:04 rss_kb=3547232
14:14:10 rss_kb=3759568
14:14:16 rss_kb=3703408
