point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
6168,4,1.66668,1.66668,2.95087,7.03205,3
6169,2,1.37887,1.37887,2.33192,7.85072,1
6170,6,1.62194,1.62194,3.72379,10.8037,14
6171,2,0.0973251,0.0973251,0.102892,22.2269,2
6172,3,0.491702,0.491702,0.944826,8.98147,3
6173,2,0.280503,0.280503,0.293764,5.5052,1
6174,4,1.02025,1.02025,1.53396,10.3533,12
6175,2,0.665269,0.665269,0.864295,4.52135,1
6176,3,0.972794,0.972794,2.22196,11.9932,3
6177,3,1.05514,1.05514,1.84276,33.0138,12
6178,4,1.35643,1.35643,2.95897,22.4732,18
6179,12,1.47522,1.47522,3.10068,24.5544,11
6180,4,1.27033,1.27033,2.61534,21.2673,18
6181,6,1.99214,1.99214,3.6104,16.3264,14
6182,4,1.45313,1.45313,3.12816,21.4001,18
6183,7,1.87402,1.87402,3.29429,16.3548,14
6184,2,0.292087,0.292087,0.311962,31.0401,6
6185,5,1.74277,1.74277,3.62134,12.4734,12
6186,3,1.02472,1.02472,1.28726,7.84497,2
6187,2,0.0257014,0.0257014,0.0258766,7.95387,1
6188,4,1.74492,1.74492,3.38005,13.1929,12
6189,3,0.892899,0.892899,1.27116,27.5586,11
6190,4,0.707863,0.707863,0.999768,15.5641,3
6191,3,1.21059,1.21059,1.49101,16.1699,17
6192,3,0.795653,0.795653,1.68357,19.6835,3
6193,3,0.912811,0.912811,2.04117,9.22566,2
6194,3,0.369811,0.369811,0.64206,12.9979,8
6195,5,1.9316,1.9316,3.01126,27.9662,7
6196,9,1.60039,1.60039,3.70777,22.1865,19
6197,3,0.912811,0.912811,2.04117,9.22566,2
6198,2,1.02575,1.02575,1.62753,9.3037,2
6199,3,0.66093,0.66093,1.24141,7.77335,6
6200,5,1.52517,1.52517,3.80936,10.4461,14
6201,3,0.674048,0.674048,1.2992,17.4347,9
6202,3,1.13701,1.13701,1.50371,9.23188,2
6203,2,0.316547,0.316547,0.32217,7.58221,1
6204,3,0.765507,0.765507,1.82689,6.54975,5
6205,4,0.795679,0.795679,1.53819,6.04377,3
6206,3,0.944379,0.944379,1.96737,16.7312,14
6207,5,1.47053,1.47053,3.97329,11.976,4
6208,4,1.59483,1.59483,2.32342,30.4663,13
6209,4,1.23854,1.23854,2.509,16.594,4
6210,4,1.53012,1.53012,3.64282,25.9941,13
6211,2,0.459098,0.459098,0.46978,7.44059,1
6212,6,1.06365,1.06365,3.18264,22.9103,14
6213,2,0.042049,0.042049,0.0424711,18.6662,15
6214,2,0.459098,0.459098,0.46978,7.44059,1
6215,7,1.65221,1.65221,3.28486,10.8254,7
6216,4,0.784383,0.784383,2.05522,24.3543,17
6217,3,0.614762,0.614762,1.28857,19.0111,14
6218,3,0.93487,0.93487,1.65272,11.1954,2
6219,7,1.40314,1.40314,2.09029,37.1125,11
6220,5,1.05104,1.05104,2.6202,10.0806,4
6221,4,1.07303,1.07303,2.52413,11.6956,11
6222,2,0.36945,0.36945,0.384406,2.81746,1
6223,3,1.08163,1.08163,1.76324,16.0601,3
6224,5,1.42747,1.42747,2.77185,13.9758,4
6225,5,1.34793,1.34793,2.74629,11.8994,5
6226,3,0.710068,0.710068,1.41087,4.77408,12
6227,2,1.0072,1.0072,1.41013,2.28452,1
6228,3,0.937316,0.937316,1.3557,10.1176,2
6229,3,1.23614,1.23614,2.73532,17.0825,3
6230,5,1.34793,1.34793,2.74629,11.8994,5
6231,5,0.77967,0.77967,1.34693,14.1783,14
